date	numbers	moneyball
Tuesday, May 19, 2015	[10, 12, 21, 29, 65]	10
Friday, May 15, 2015	[11, 17, 21, 36, 74]	15
Tuesday, May 12, 2015	[14, 30, 33, 36, 44]	02
Friday, May 8, 2015	[9, 21, 25, 66, 72]	07
Tuesday, May 5, 2015	[11, 21, 42, 62, 71]	07
Friday, May 1, 2015	[17, 18, 61, 66, 74]	03
Tuesday, April 28, 2015	[22, 27, 55, 58, 63]	11
Friday, April 24, 2015	[24, 25, 29, 47, 67]	04
Tuesday, April 21, 2015	[31, 33, 35, 41, 69]	11
Friday, April 17, 2015	[15, 18, 29, 41, 50]	05
Tuesday, April 14, 2015	[3, 7, 25, 68, 71]	03
Friday, April 10, 2015	[6, 11, 32, 46, 68]	09
Tuesday, April 7, 2015	[5, 15, 22, 26, 64]	06
Friday, April 3, 2015	[10, 36, 47, 63, 74]	02
Tuesday, March 31, 2015	[8, 26, 41, 61, 73]	11
Friday, March 27, 2015	[17, 21, 36, 58, 70]	03
Tuesday, March 24, 2015	[2, 23, 32, 45, 55]	12
Friday, March 20, 2015	[7, 50, 54, 61, 75]	07
Tuesday, March 17, 2015	[11, 27, 44, 45, 58]	03
Friday, March 13, 2015	[8, 22, 30, 42, 45]	03
Tuesday, March 10, 2015	[10, 14, 19, 30, 73]	14
Friday, March 6, 2015	[30, 48, 55, 68, 73]	05
Tuesday, March 3, 2015	[9, 11, 42, 44, 50]	03
Friday, February 27, 2015	[7, 49, 53, 60, 64]	04
Tuesday, February 24, 2015	[15, 23, 26, 45, 66]	04
Friday, February 20, 2015	[2, 6, 8, 52, 66]	13
Tuesday, February 17, 2015	[6, 45, 50, 65, 66]	01
Friday, February 13, 2015	[4, 20, 44, 65, 74]	14
Tuesday, February 10, 2015	[7, 42, 53, 58, 71]	15
Friday, February 6, 2015	[5, 6, 17, 33, 68]	13
Tuesday, February 3, 2015	[11, 22, 25, 58, 69]	13
Friday, January 30, 2015	[18, 31, 39, 45, 55]	06
Tuesday, January 27, 2015	[5, 26, 27, 44, 57]	07
Friday, January 23, 2015	[14, 15, 32, 68, 72]	08
Tuesday, January 20, 2015	[31, 35, 56, 59, 63]	06
Friday, January 16, 2015	[26, 32, 44, 45, 58]	11
Tuesday, January 13, 2015	[12, 20, 25, 50, 51]	07
Friday, January 9, 2015	[37, 49, 50, 56, 57]	08
Tuesday, January 6, 2015	[12, 20, 27, 38, 75]	04
Friday, January 2, 2015	[13, 15, 35, 62, 74]	12
Tuesday, December 30, 2014	[3, 7, 44, 63, 67]	12
Friday, December 26, 2014	[2, 5, 10, 20, 38]	14
Tuesday, December 23, 2014	[4, 10, 31, 56, 66]	07
Friday, December 19, 2014	[14, 18, 58, 59, 68]	04
Tuesday, December 16, 2014	[41, 58, 68, 72, 73]	01
Friday, December 12, 2014	[2, 31, 46, 58, 65]	07
Tuesday, December 9, 2014	[27, 45, 49, 51, 52]	14
Friday, December 5, 2014	[4, 5, 11, 51, 59]	05
Tuesday, December 2, 2014	[13, 18, 22, 49, 62]	11
Friday, November 28, 2014	[8, 26, 29, 36, 47]	10
Tuesday, November 25, 2014	[10, 11, 29, 47, 56]	04
Friday, November 21, 2014	[3, 12, 35, 37, 63]	15
Tuesday, November 18, 2014	[37, 39, 53, 68, 75]	06
Friday, November 14, 2014	[3, 49, 61, 62, 68]	15
Tuesday, November 11, 2014	[23, 25, 28, 30, 75]	11
Friday, November 7, 2014	[31, 35, 41, 65, 66]	05
Tuesday, November 4, 2014	[9, 15, 24, 39, 41]	01
Friday, October 31, 2014	[11, 29, 36, 58, 67]	15
Tuesday, October 28, 2014	[3, 50, 57, 58, 60]	11
Friday, October 24, 2014	[2, 14, 21, 28, 55]	03
Tuesday, October 21, 2014	[5, 35, 37, 41, 66]	11
Friday, October 17, 2014	[21, 31, 43, 56, 60]	12
Tuesday, October 14, 2014	[11, 37, 46, 64, 68]	15
Friday, October 10, 2014	[2, 32, 35, 50, 59]	03
Tuesday, October 7, 2014	[16, 29, 46, 48, 55]	02
Friday, October 3, 2014	[3, 20, 34, 58, 67]	06
Tuesday, September 30, 2014	[3, 16, 52, 54, 61]	06
Friday, September 26, 2014	[17, 26, 35, 46, 62]	09
Tuesday, September 23, 2014	[21, 24, 25, 40, 43]	12
Friday, September 19, 2014	[16, 25, 27, 29, 34]	02
Tuesday, September 16, 2014	[25, 45, 51, 53, 73]	02
Friday, September 12, 2014	[18, 28, 33, 36, 42]	07
Tuesday, September 9, 2014	[25, 34, 55, 70, 71]	01
Friday, September 5, 2014	[7, 12, 20, 24, 59]	07
Tuesday, September 2, 2014	[1, 8, 54, 69, 72]	01
Friday, August 29, 2014	[3, 26, 45, 58, 73]	12
Tuesday, August 26, 2014	[29, 31, 51, 60, 64]	01
Friday, August 22, 2014	[5, 31, 34, 41, 74]	03
Tuesday, August 19, 2014	[22, 39, 56, 67, 71]	15
Friday, August 15, 2014	[16, 19, 28, 29, 68]	09
Tuesday, August 12, 2014	[32, 53, 60, 63, 68]	06
Friday, August 8, 2014	[9, 16, 61, 70, 75]	07
Tuesday, August 5, 2014	[25, 28, 36, 45, 53]	06
Friday, August 1, 2014	[13, 29, 34, 37, 72]	06
Tuesday, July 29, 2014	[2, 8, 16, 43, 74]	01
Friday, July 25, 2014	[22, 29, 33, 41, 68]	12
Tuesday, July 22, 2014	[14, 18, 22, 31, 47]	15
Friday, July 18, 2014	[5, 8, 59, 65, 72]	03
Tuesday, July 15, 2014	[2, 4, 17, 36, 40]	05
Friday, July 11, 2014	[9, 13, 30, 35, 69]	10
Tuesday, July 8, 2014	[14, 25, 27, 48, 49]	09
Friday, July 4, 2014	[16, 33, 39, 58, 69]	02
Tuesday, July 1, 2014	[9, 22, 38, 47, 49]	15
Friday, June 27, 2014	[15, 29, 31, 46, 64]	10
Tuesday, June 24, 2014	[13, 17, 24, 47, 65]	10
Friday, June 20, 2014	[1, 22, 25, 29, 56]	03
Tuesday, June 17, 2014	[10, 14, 24, 47, 60]	03
Friday, June 13, 2014	[7, 38, 46, 49, 56]	01
Tuesday, June 10, 2014	[2, 10, 24, 26, 74]	07
Friday, June 6, 2014	[12, 29, 37, 49, 72]	09
Tuesday, June 3, 2014	[19, 28, 62, 66, 74]	06
Friday, May 30, 2014	[10, 13, 42, 43, 62]	02
Tuesday, May 27, 2014	[1, 6, 10, 46, 58]	13
Friday, May 23, 2014	[12, 14, 21, 38, 70]	15
Tuesday, May 20, 2014	[10, 40, 63, 64, 69]	07
Friday, May 16, 2014	[13, 14, 16, 50, 56]	11
Tuesday, May 13, 2014	[37, 46, 48, 70, 74]	01
Friday, May 9, 2014	[10, 28, 39, 51, 59]	14
Tuesday, May 6, 2014	[18, 20, 27, 48, 51]	05
Friday, May 2, 2014	[1, 18, 26, 35, 40]	13
Tuesday, April 29, 2014	[7, 43, 59, 61, 66]	03
Friday, April 25, 2014	[3, 11, 18, 20, 66]	09
Tuesday, April 22, 2014	[2, 18, 19, 49, 50]	01
Friday, April 18, 2014	[18, 25, 38, 45, 63]	09
Tuesday, April 15, 2014	[4, 39, 46, 47, 70]	13
Friday, April 11, 2014	[3, 42, 44, 47, 57]	08
Tuesday, April 8, 2014	[35, 36, 41, 60, 71]	03
Friday, April 4, 2014	[1, 10, 15, 41, 54]	09
Tuesday, April 1, 2014	[10, 23, 68, 74, 75]	09
Friday, March 28, 2014	[2, 3, 9, 50, 73]	12
Tuesday, March 25, 2014	[19, 26, 51, 57, 73]	15
Friday, March 21, 2014	[2, 23, 30, 35, 53]	10
Tuesday, March 18, 2014	[11, 19, 24, 33, 51]	07
Friday, March 14, 2014	[7, 20, 40, 54, 69]	12
Tuesday, March 11, 2014	[9, 14, 56, 57, 69]	10
Friday, March 7, 2014	[11, 13, 51, 57, 69]	01
Tuesday, March 4, 2014	[10, 29, 31, 35, 45]	10
Friday, February 28, 2014	[3, 31, 50, 58, 59]	06
Tuesday, February 25, 2014	[12, 18, 25, 35, 66]	15
Friday, February 21, 2014	[23, 29, 32, 45, 46]	15
Tuesday, February 18, 2014	[23, 29, 31, 37, 70]	14
Friday, February 14, 2014	[20, 28, 35, 71, 72]	07
Tuesday, February 11, 2014	[43, 64, 67, 71, 73]	04
Friday, February 7, 2014	[11, 21, 23, 35, 64]	10
Tuesday, February 4, 2014	[25, 44, 49, 60, 73]	09
Friday, January 31, 2014	[3, 9, 13, 47, 52]	08
Tuesday, January 28, 2014	[7, 16, 28, 53, 60]	02
Friday, January 24, 2014	[22, 45, 46, 47, 65]	10
Tuesday, January 21, 2014	[8, 23, 33, 45, 52]	04
Friday, January 17, 2014	[1, 10, 26, 31, 51]	11
Tuesday, January 14, 2014	[4, 23, 26, 62, 69]	13
Friday, January 10, 2014	[8, 28, 36, 37, 57]	08
Tuesday, January 7, 2014	[13, 34, 56, 62, 64]	06
Friday, January 3, 2014	[22, 24, 25, 40, 70]	05
Tuesday, December 31, 2013	[8, 12, 34, 52, 58]	08
Friday, December 27, 2013	[4, 15, 35, 48, 49]	11
Tuesday, December 24, 2013	[23, 34, 53, 58, 73]	02
Friday, December 20, 2013	[3, 4, 31, 49, 57]	06
Tuesday, December 17, 2013	[8, 14, 17, 20, 39]	07
Friday, December 13, 2013	[19, 24, 26, 27, 70]	12
Tuesday, December 10, 2013	[5, 12, 22, 41, 65]	13
Friday, December 6, 2013	[11, 29, 44, 63, 64]	03
Tuesday, December 3, 2013	[7, 12, 41, 44, 59]	03
Friday, November 29, 2013	[9, 41, 43, 47, 57]	05
Tuesday, November 26, 2013	[27, 44, 59, 74, 75]	03
Friday, November 22, 2013	[17, 23, 35, 36, 44]	08
Tuesday, November 19, 2013	[14, 15, 29, 49, 63]	02
Friday, November 15, 2013	[25, 44, 49, 54, 63]	08
Tuesday, November 12, 2013	[20, 30, 32, 42, 71]	15
Friday, November 8, 2013	[41, 42, 51, 57, 65]	07
Tuesday, November 5, 2013	[2, 11, 42, 64, 74]	02
Friday, November 1, 2013	[32, 35, 49, 62, 67]	01
Tuesday, October 29, 2013	[20, 33, 50, 53, 54]	07
